cell (0,1);cell (2,1);cell (3,1);cell (4,1);cell (5,1);cell (6,1);cell (7,1);cell (8,1);cell (9,1);cell (10,1);cell (11,1);cell (12,1);cell (13,1);cell (14,1);cell (15,1);cell (16,1);cell (17,1);cell (18,1);cell (19,1);cell (20,1);cell (21,1);cell (22,1);cell (23,1);cell (24,1);cell (25,1);cell (26,1);cell (27,1);cell (28,1);cell (29,1);cell (30,1);cell (31,1);cell (32,1);cell (33,1);cell (34,1);cell (35,1);cell (36,1);cell (37,1);cell (38,1);cell (39,1);cell (40,1);cell (41,1);cell (42,1);cell (43,1);cell (44,1);cell (45,1);cell (46,1);cell (47,1);cell (48,1);cell (49,1);cell (50,1);cell (51,1);cell (52,1);cell (53,1);cell (54,1);cell (55,1);cell (56,1);cell (57,1);cell (58,1);cell (59,1);cell (60,1);cell (61,1);cell (62,1);cell (63,1);cell (64,1);cell (65,1);cell (66,1);cell (67,1);cell (68,1);cell (69,1);cell (70,1);cell (71,1);cell (72,1);cell (73,1);cell (74,1);cell (75,1);cell (76,1);cell (77,1);cell (78,1);cell (79,1);cell (80,1);cell (81,1);cell (82,1);cell (83,1);cell (84,1);cell (85,1);cell (86,1);cell (87,1);cell (88,1);cell (89,1);cell (90,1);cell (91,1);cell (92,1);cell (93,1);cell (94,1);cell (95,1);cell (96,1);cell (97,1);cell (98,1);cell (99,1);cell (100,1)
cell (0,12);cell (2,12);cell (3,12);cell (4,12);cell (5,12);cell (6,12);cell (7,12);cell (8,12);cell (9,12);cell (10,12);cell (11,12);cell (12,12);cell (13,12);cell (14,12);cell (15,12);cell (16,12);cell (17,12);cell (18,12);cell (19,12);cell (20,12);cell (21,12);cell (22,12);cell (23,12);cell (24,12);cell (25,12);cell (26,12);cell (27,12);cell (28,12);cell (29,12);cell (30,12);cell (31,12);cell (32,12);cell (33,12);cell (34,12);cell (35,12);cell (36,12);cell (37,12);cell (38,12);cell (39,12);cell (40,12);cell (41,12);cell (42,12);cell (43,12);cell (44,12);cell (45,12);cell (46,12);cell (47,12);cell (48,12);cell (49,12);cell (50,12);cell (51,12);cell (52,12);cell (53,12);cell (54,12);cell (55,12);cell (56,12);cell (57,12);cell (58,12);cell (59,12);cell (60,12);cell (61,12);cell (62,12);cell (63,12);cell (64,12);cell (65,12);cell (66,12);cell (67,12);cell (68,12);cell (69,12);cell (70,12);cell (71,12);cell (72,12);cell (73,12);cell (74,12);cell (75,12);cell (76,12);cell (77,12);cell (78,12);cell (79,12);cell (80,12);cell (81,12);cell (82,12);cell (83,12);cell (84,12);cell (85,12);cell (86,12);cell (87,12);cell (88,12);cell (89,12);cell (90,12);cell (91,12);cell (92,12);cell (93,12);cell (94,12);cell (95,12);cell (96,12);cell (97,12);cell (98,12);cell (99,12);cell (100,12)
cell (0,13);cell (2,13);cell (3,13);cell (4,13);cell (5,13);cell (6,13);cell (7,13);cell (8,13);cell (9,13);cell (10,13);cell (11,13);cell (12,13);cell (13,13);cell (14,13);cell (15,13);cell (16,13);cell (17,13);cell (18,13);cell (19,13);cell (20,13);cell (21,13);cell (22,13);cell (23,13);cell (24,13);cell (25,13);cell (26,13);cell (27,13);cell (28,13);cell (29,13);cell (30,13);cell (31,13);cell (32,13);cell (33,13);cell (34,13);cell (35,13);cell (36,13);cell (37,13);cell (38,13);cell (39,13);cell (40,13);cell (41,13);cell (42,13);cell (43,13);cell (44,13);cell (45,13);cell (46,13);cell (47,13);cell (48,13);cell (49,13);cell (50,13);cell (51,13);cell (52,13);cell (53,13);cell (54,13);cell (55,13);cell (56,13);cell (57,13);cell (58,13);cell (59,13);cell (60,13);cell (61,13);cell (62,13);cell (63,13);cell (64,13);cell (65,13);cell (66,13);cell (67,13);cell (68,13);cell (69,13);cell (70,13);cell (71,13);cell (72,13);cell (73,13);cell (74,13);cell (75,13);cell (76,13);cell (77,13);cell (78,13);cell (79,13);cell (80,13);cell (81,13);cell (82,13);cell (83,13);cell (84,13);cell (85,13);cell (86,13);cell (87,13);cell (88,13);cell (89,13);cell (90,13);cell (91,13);cell (92,13);cell (93,13);cell (94,13);cell (95,13);cell (96,13);cell (97,13);cell (98,13);cell (99,13);cell (100,13)
cell (0,14);cell (2,14);cell (3,14);cell (4,14);cell (5,14);cell (6,14);cell (7,14);cell (8,14);cell (9,14);cell (10,14);cell (11,14);cell (12,14);cell (13,14);cell (14,14);cell (15,14);cell (16,14);cell (17,14);cell (18,14);cell (19,14);cell (20,14);cell (21,14);cell (22,14);cell (23,14);cell (24,14);cell (25,14);cell (26,14);cell (27,14);cell (28,14);cell (29,14);cell (30,14);cell (31,14);cell (32,14);cell (33,14);cell (34,14);cell (35,14);cell (36,14);cell (37,14);cell (38,14);cell (39,14);cell (40,14);cell (41,14);cell (42,14);cell (43,14);cell (44,14);cell (45,14);cell (46,14);cell (47,14);cell (48,14);cell (49,14);cell (50,14);cell (51,14);cell (52,14);cell (53,14);cell (54,14);cell (55,14);cell (56,14);cell (57,14);cell (58,14);cell (59,14);cell (60,14);cell (61,14);cell (62,14);cell (63,14);cell (64,14);cell (65,14);cell (66,14);cell (67,14);cell (68,14);cell (69,14);cell (70,14);cell (71,14);cell (72,14);cell (73,14);cell (74,14);cell (75,14);cell (76,14);cell (77,14);cell (78,14);cell (79,14);cell (80,14);cell (81,14);cell (82,14);cell (83,14);cell (84,14);cell (85,14);cell (86,14);cell (87,14);cell (88,14);cell (89,14);cell (90,14);cell (91,14);cell (92,14);cell (93,14);cell (94,14);cell (95,14);cell (96,14);cell (97,14);cell (98,14);cell (99,14);cell (100,14)
cell (0,15);cell (2,15);cell (3,15);cell (4,15);cell (5,15);cell (6,15);cell (7,15);cell (8,15);cell (9,15);cell (10,15);cell (11,15);cell (12,15);cell (13,15);cell (14,15);cell (15,15);cell (16,15);cell (17,15);cell (18,15);cell (19,15);cell (20,15);cell (21,15);cell (22,15);cell (23,15);cell (24,15);cell (25,15);cell (26,15);cell (27,15);cell (28,15);cell (29,15);cell (30,15);cell (31,15);cell (32,15);cell (33,15);cell (34,15);cell (35,15);cell (36,15);cell (37,15);cell (38,15);cell (39,15);cell (40,15);cell (41,15);cell (42,15);cell (43,15);cell (44,15);cell (45,15);cell (46,15);cell (47,15);cell (48,15);cell (49,15);cell (50,15);cell (51,15);cell (52,15);cell (53,15);cell (54,15);cell (55,15);cell (56,15);cell (57,15);cell (58,15);cell (59,15);cell (60,15);cell (61,15);cell (62,15);cell (63,15);cell (64,15);cell (65,15);cell (66,15);cell (67,15);cell (68,15);cell (69,15);cell (70,15);cell (71,15);cell (72,15);cell (73,15);cell (74,15);cell (75,15);cell (76,15);cell (77,15);cell (78,15);cell (79,15);cell (80,15);cell (81,15);cell (82,15);cell (83,15);cell (84,15);cell (85,15);cell (86,15);cell (87,15);cell (88,15);cell (89,15);cell (90,15);cell (91,15);cell (92,15);cell (93,15);cell (94,15);cell (95,15);cell (96,15);cell (97,15);cell (98,15);cell (99,15);cell (100,15)
cell (0,16);cell (2,16);cell (3,16);cell (4,16);cell (5,16);cell (6,16);cell (7,16);cell (8,16);cell (9,16);cell (10,16);cell (11,16);cell (12,16);cell (13,16);cell (14,16);cell (15,16);cell (16,16);cell (17,16);cell (18,16);cell (19,16);cell (20,16);cell (21,16);cell (22,16);cell (23,16);cell (24,16);cell (25,16);cell (26,16);cell (27,16);cell (28,16);cell (29,16);cell (30,16);cell (31,16);cell (32,16);cell (33,16);cell (34,16);cell (35,16);cell (36,16);cell (37,16);cell (38,16);cell (39,16);cell (40,16);cell (41,16);cell (42,16);cell (43,16);cell (44,16);cell (45,16);cell (46,16);cell (47,16);cell (48,16);cell (49,16);cell (50,16);cell (51,16);cell (52,16);cell (53,16);cell (54,16);cell (55,16);cell (56,16);cell (57,16);cell (58,16);cell (59,16);cell (60,16);cell (61,16);cell (62,16);cell (63,16);cell (64,16);cell (65,16);cell (66,16);cell (67,16);cell (68,16);cell (69,16);cell (70,16);cell (71,16);cell (72,16);cell (73,16);cell (74,16);cell (75,16);cell (76,16);cell (77,16);cell (78,16);cell (79,16);cell (80,16);cell (81,16);cell (82,16);cell (83,16);cell (84,16);cell (85,16);cell (86,16);cell (87,16);cell (88,16);cell (89,16);cell (90,16);cell (91,16);cell (92,16);cell (93,16);cell (94,16);cell (95,16);cell (96,16);cell (97,16);cell (98,16);cell (99,16);cell (100,16)
cell (0,17);cell (2,17);cell (3,17);cell (4,17);cell (5,17);cell (6,17);cell (7,17);cell (8,17);cell (9,17);cell (10,17);cell (11,17);cell (12,17);cell (13,17);cell (14,17);cell (15,17);cell (16,17);cell (17,17);cell (18,17);cell (19,17);cell (20,17);cell (21,17);cell (22,17);cell (23,17);cell (24,17);cell (25,17);cell (26,17);cell (27,17);cell (28,17);cell (29,17);cell (30,17);cell (31,17);cell (32,17);cell (33,17);cell (34,17);cell (35,17);cell (36,17);cell (37,17);cell (38,17);cell (39,17);cell (40,17);cell (41,17);cell (42,17);cell (43,17);cell (44,17);cell (45,17);cell (46,17);cell (47,17);cell (48,17);cell (49,17);cell (50,17);cell (51,17);cell (52,17);cell (53,17);cell (54,17);cell (55,17);cell (56,17);cell (57,17);cell (58,17);cell (59,17);cell (60,17);cell (61,17);cell (62,17);cell (63,17);cell (64,17);cell (65,17);cell (66,17);cell (67,17);cell (68,17);cell (69,17);cell (70,17);cell (71,17);cell (72,17);cell (73,17);cell (74,17);cell (75,17);cell (76,17);cell (77,17);cell (78,17);cell (79,17);cell (80,17);cell (81,17);cell (82,17);cell (83,17);cell (84,17);cell (85,17);cell (86,17);cell (87,17);cell (88,17);cell (89,17);cell (90,17);cell (91,17);cell (92,17);cell (93,17);cell (94,17);cell (95,17);cell (96,17);cell (97,17);cell (98,17);cell (99,17);cell (100,17)
cell (0,18);cell (2,18);cell (3,18);cell (4,18);cell (5,18);cell (6,18);cell (7,18);cell (8,18);cell (9,18);cell (10,18);cell (11,18);cell (12,18);cell (13,18);cell (14,18);cell (15,18);cell (16,18);cell (17,18);cell (18,18);cell (19,18);cell (20,18);cell (21,18);cell (22,18);cell (23,18);cell (24,18);cell (25,18);cell (26,18);cell (27,18);cell (28,18);cell (29,18);cell (30,18);cell (31,18);cell (32,18);cell (33,18);cell (34,18);cell (35,18);cell (36,18);cell (37,18);cell (38,18);cell (39,18);cell (40,18);cell (41,18);cell (42,18);cell (43,18);cell (44,18);cell (45,18);cell (46,18);cell (47,18);cell (48,18);cell (49,18);cell (50,18);cell (51,18);cell (52,18);cell (53,18);cell (54,18);cell (55,18);cell (56,18);cell (57,18);cell (58,18);cell (59,18);cell (60,18);cell (61,18);cell (62,18);cell (63,18);cell (64,18);cell (65,18);cell (66,18);cell (67,18);cell (68,18);cell (69,18);cell (70,18);cell (71,18);cell (72,18);cell (73,18);cell (74,18);cell (75,18);cell (76,18);cell (77,18);cell (78,18);cell (79,18);cell (80,18);cell (81,18);cell (82,18);cell (83,18);cell (84,18);cell (85,18);cell (86,18);cell (87,18);cell (88,18);cell (89,18);cell (90,18);cell (91,18);cell (92,18);cell (93,18);cell (94,18);cell (95,18);cell (96,18);cell (97,18);cell (98,18);cell (99,18);cell (100,18)
cell (0,19);cell (2,19);cell (3,19);cell (4,19);cell (5,19);cell (6,19);cell (7,19);cell (8,19);cell (9,19);cell (10,19);cell (11,19);cell (12,19);cell (13,19);cell (14,19);cell (15,19);cell (16,19);cell (17,19);cell (18,19);cell (19,19);cell (20,19);cell (21,19);cell (22,19);cell (23,19);cell (24,19);cell (25,19);cell (26,19);cell (27,19);cell (28,19);cell (29,19);cell (30,19);cell (31,19);cell (32,19);cell (33,19);cell (34,19);cell (35,19);cell (36,19);cell (37,19);cell (38,19);cell (39,19);cell (40,19);cell (41,19);cell (42,19);cell (43,19);cell (44,19);cell (45,19);cell (46,19);cell (47,19);cell (48,19);cell (49,19);cell (50,19);cell (51,19);cell (52,19);cell (53,19);cell (54,19);cell (55,19);cell (56,19);cell (57,19);cell (58,19);cell (59,19);cell (60,19);cell (61,19);cell (62,19);cell (63,19);cell (64,19);cell (65,19);cell (66,19);cell (67,19);cell (68,19);cell (69,19);cell (70,19);cell (71,19);cell (72,19);cell (73,19);cell (74,19);cell (75,19);cell (76,19);cell (77,19);cell (78,19);cell (79,19);cell (80,19);cell (81,19);cell (82,19);cell (83,19);cell (84,19);cell (85,19);cell (86,19);cell (87,19);cell (88,19);cell (89,19);cell (90,19);cell (91,19);cell (92,19);cell (93,19);cell (94,19);cell (95,19);cell (96,19);cell (97,19);cell (98,19);cell (99,19);cell (100,19)
cell (0,20);cell (2,20);cell (3,20);cell (4,20);cell (5,20);cell (6,20);cell (7,20);cell (8,20);cell (9,20);cell (10,20);cell (11,20);cell (12,20);cell (13,20);cell (14,20);cell (15,20);cell (16,20);cell (17,20);cell (18,20);cell (19,20);cell (20,20);cell (21,20);cell (22,20);cell (23,20);cell (24,20);cell (25,20);cell (26,20);cell (27,20);cell (28,20);cell (29,20);cell (30,20);cell (31,20);cell (32,20);cell (33,20);cell (34,20);cell (35,20);cell (36,20);cell (37,20);cell (38,20);cell (39,20);cell (40,20);cell (41,20);cell (42,20);cell (43,20);cell (44,20);cell (45,20);cell (46,20);cell (47,20);cell (48,20);cell (49,20);cell (50,20);cell (51,20);cell (52,20);cell (53,20);cell (54,20);cell (55,20);cell (56,20);cell (57,20);cell (58,20);cell (59,20);cell (60,20);cell (61,20);cell (62,20);cell (63,20);cell (64,20);cell (65,20);cell (66,20);cell (67,20);cell (68,20);cell (69,20);cell (70,20);cell (71,20);cell (72,20);cell (73,20);cell (74,20);cell (75,20);cell (76,20);cell (77,20);cell (78,20);cell (79,20);cell (80,20);cell (81,20);cell (82,20);cell (83,20);cell (84,20);cell (85,20);cell (86,20);cell (87,20);cell (88,20);cell (89,20);cell (90,20);cell (91,20);cell (92,20);cell (93,20);cell (94,20);cell (95,20);cell (96,20);cell (97,20);cell (98,20);cell (99,20);cell (100,20)
cell (0,21);cell (2,21);cell (3,21);cell (4,21);cell (5,21);cell (6,21);cell (7,21);cell (8,21);cell (9,21);cell (10,21);cell (11,21);cell (12,21);cell (13,21);cell (14,21);cell (15,21);cell (16,21);cell (17,21);cell (18,21);cell (19,21);cell (20,21);cell (21,21);cell (22,21);cell (23,21);cell (24,21);cell (25,21);cell (26,21);cell (27,21);cell (28,21);cell (29,21);cell (30,21);cell (31,21);cell (32,21);cell (33,21);cell (34,21);cell (35,21);cell (36,21);cell (37,21);cell (38,21);cell (39,21);cell (40,21);cell (41,21);cell (42,21);cell (43,21);cell (44,21);cell (45,21);cell (46,21);cell (47,21);cell (48,21);cell (49,21);cell (50,21);cell (51,21);cell (52,21);cell (53,21);cell (54,21);cell (55,21);cell (56,21);cell (57,21);cell (58,21);cell (59,21);cell (60,21);cell (61,21);cell (62,21);cell (63,21);cell (64,21);cell (65,21);cell (66,21);cell (67,21);cell (68,21);cell (69,21);cell (70,21);cell (71,21);cell (72,21);cell (73,21);cell (74,21);cell (75,21);cell (76,21);cell (77,21);cell (78,21);cell (79,21);cell (80,21);cell (81,21);cell (82,21);cell (83,21);cell (84,21);cell (85,21);cell (86,21);cell (87,21);cell (88,21);cell (89,21);cell (90,21);cell (91,21);cell (92,21);cell (93,21);cell (94,21);cell (95,21);cell (96,21);cell (97,21);cell (98,21);cell (99,21);cell (100,21)
cell (0,22);cell (2,22);cell (3,22);cell (4,22);cell (5,22);cell (6,22);cell (7,22);cell (8,22);cell (9,22);cell (10,22);cell (11,22);cell (12,22);cell (13,22);cell (14,22);cell (15,22);cell (16,22);cell (17,22);cell (18,22);cell (19,22);cell (20,22);cell (21,22);cell (22,22);cell (23,22);cell (24,22);cell (25,22);cell (26,22);cell (27,22);cell (28,22);cell (29,22);cell (30,22);cell (31,22);cell (32,22);cell (33,22);cell (34,22);cell (35,22);cell (36,22);cell (37,22);cell (38,22);cell (39,22);cell (40,22);cell (41,22);cell (42,22);cell (43,22);cell (44,22);cell (45,22);cell (46,22);cell (47,22);cell (48,22);cell (49,22);cell (50,22);cell (51,22);cell (52,22);cell (53,22);cell (54,22);cell (55,22);cell (56,22);cell (57,22);cell (58,22);cell (59,22);cell (60,22);cell (61,22);cell (62,22);cell (63,22);cell (64,22);cell (65,22);cell (66,22);cell (67,22);cell (68,22);cell (69,22);cell (70,22);cell (71,22);cell (72,22);cell (73,22);cell (74,22);cell (75,22);cell (76,22);cell (77,22);cell (78,22);cell (79,22);cell (80,22);cell (81,22);cell (82,22);cell (83,22);cell (84,22);cell (85,22);cell (86,22);cell (87,22);cell (88,22);cell (89,22);cell (90,22);cell (91,22);cell (92,22);cell (93,22);cell (94,22);cell (95,22);cell (96,22);cell (97,22);cell (98,22);cell (99,22);cell (100,22)
cell (0,23);cell (2,23);cell (3,23);cell (4,23);cell (5,23);cell (6,23);cell (7,23);cell (8,23);cell (9,23);cell (10,23);cell (11,23);cell (12,23);cell (13,23);cell (14,23);cell (15,23);cell (16,23);cell (17,23);cell (18,23);cell (19,23);cell (20,23);cell (21,23);cell (22,23);cell (23,23);cell (24,23);cell (25,23);cell (26,23);cell (27,23);cell (28,23);cell (29,23);cell (30,23);cell (31,23);cell (32,23);cell (33,23);cell (34,23);cell (35,23);cell (36,23);cell (37,23);cell (38,23);cell (39,23);cell (40,23);cell (41,23);cell (42,23);cell (43,23);cell (44,23);cell (45,23);cell (46,23);cell (47,23);cell (48,23);cell (49,23);cell (50,23);cell (51,23);cell (52,23);cell (53,23);cell (54,23);cell (55,23);cell (56,23);cell (57,23);cell (58,23);cell (59,23);cell (60,23);cell (61,23);cell (62,23);cell (63,23);cell (64,23);cell (65,23);cell (66,23);cell (67,23);cell (68,23);cell (69,23);cell (70,23);cell (71,23);cell (72,23);cell (73,23);cell (74,23);cell (75,23);cell (76,23);cell (77,23);cell (78,23);cell (79,23);cell (80,23);cell (81,23);cell (82,23);cell (83,23);cell (84,23);cell (85,23);cell (86,23);cell (87,23);cell (88,23);cell (89,23);cell (90,23);cell (91,23);cell (92,23);cell (93,23);cell (94,23);cell (95,23);cell (96,23);cell (97,23);cell (98,23);cell (99,23);cell (100,23)
cell (0,24);cell (2,24);cell (3,24);cell (4,24);cell (5,24);cell (6,24);cell (7,24);cell (8,24);cell (9,24);cell (10,24);cell (11,24);cell (12,24);cell (13,24);cell (14,24);cell (15,24);cell (16,24);cell (17,24);cell (18,24);cell (19,24);cell (20,24);cell (21,24);cell (22,24);cell (23,24);cell (24,24);cell (25,24);cell (26,24);cell (27,24);cell (28,24);cell (29,24);cell (30,24);cell (31,24);cell (32,24);cell (33,24);cell (34,24);cell (35,24);cell (36,24);cell (37,24);cell (38,24);cell (39,24);cell (40,24);cell (41,24);cell (42,24);cell (43,24);cell (44,24);cell (45,24);cell (46,24);cell (47,24);cell (48,24);cell (49,24);cell (50,24);cell (51,24);cell (52,24);cell (53,24);cell (54,24);cell (55,24);cell (56,24);cell (57,24);cell (58,24);cell (59,24);cell (60,24);cell (61,24);cell (62,24);cell (63,24);cell (64,24);cell (65,24);cell (66,24);cell (67,24);cell (68,24);cell (69,24);cell (70,24);cell (71,24);cell (72,24);cell (73,24);cell (74,24);cell (75,24);cell (76,24);cell (77,24);cell (78,24);cell (79,24);cell (80,24);cell (81,24);cell (82,24);cell (83,24);cell (84,24);cell (85,24);cell (86,24);cell (87,24);cell (88,24);cell (89,24);cell (90,24);cell (91,24);cell (92,24);cell (93,24);cell (94,24);cell (95,24);cell (96,24);cell (97,24);cell (98,24);cell (99,24);cell (100,24)
cell (0,25);cell (2,25);cell (3,25);cell (4,25);cell (5,25);cell (6,25);cell (7,25);cell (8,25);cell (9,25);cell (10,25);cell (11,25);cell (12,25);cell (13,25);cell (14,25);cell (15,25);cell (16,25);cell (17,25);cell (18,25);cell (19,25);cell (20,25);cell (21,25);cell (22,25);cell (23,25);cell (24,25);cell (25,25);cell (26,25);cell (27,25);cell (28,25);cell (29,25);cell (30,25);cell (31,25);cell (32,25);cell (33,25);cell (34,25);cell (35,25);cell (36,25);cell (37,25);cell (38,25);cell (39,25);cell (40,25);cell (41,25);cell (42,25);cell (43,25);cell (44,25);cell (45,25);cell (46,25);cell (47,25);cell (48,25);cell (49,25);cell (50,25);cell (51,25);cell (52,25);cell (53,25);cell (54,25);cell (55,25);cell (56,25);cell (57,25);cell (58,25);cell (59,25);cell (60,25);cell (61,25);cell (62,25);cell (63,25);cell (64,25);cell (65,25);cell (66,25);cell (67,25);cell (68,25);cell (69,25);cell (70,25);cell (71,25);cell (72,25);cell (73,25);cell (74,25);cell (75,25);cell (76,25);cell (77,25);cell (78,25);cell (79,25);cell (80,25);cell (81,25);cell (82,25);cell (83,25);cell (84,25);cell (85,25);cell (86,25);cell (87,25);cell (88,25);cell (89,25);cell (90,25);cell (91,25);cell (92,25);cell (93,25);cell (94,25);cell (95,25);cell (96,25);cell (97,25);cell (98,25);cell (99,25);cell (100,25)
cell (0,26);cell (2,26);cell (3,26);cell (4,26);cell (5,26);cell (6,26);cell (7,26);cell (8,26);cell (9,26);cell (10,26);cell (11,26);cell (12,26);cell (13,26);cell (14,26);cell (15,26);cell (16,26);cell (17,26);cell (18,26);cell (19,26);cell (20,26);cell (21,26);cell (22,26);cell (23,26);cell (24,26);cell (25,26);cell (26,26);cell (27,26);cell (28,26);cell (29,26);cell (30,26);cell (31,26);cell (32,26);cell (33,26);cell (34,26);cell (35,26);cell (36,26);cell (37,26);cell (38,26);cell (39,26);cell (40,26);cell (41,26);cell (42,26);cell (43,26);cell (44,26);cell (45,26);cell (46,26);cell (47,26);cell (48,26);cell (49,26);cell (50,26);cell (51,26);cell (52,26);cell (53,26);cell (54,26);cell (55,26);cell (56,26);cell (57,26);cell (58,26);cell (59,26);cell (60,26);cell (61,26);cell (62,26);cell (63,26);cell (64,26);cell (65,26);cell (66,26);cell (67,26);cell (68,26);cell (69,26);cell (70,26);cell (71,26);cell (72,26);cell (73,26);cell (74,26);cell (75,26);cell (76,26);cell (77,26);cell (78,26);cell (79,26);cell (80,26);cell (81,26);cell (82,26);cell (83,26);cell (84,26);cell (85,26);cell (86,26);cell (87,26);cell (88,26);cell (89,26);cell (90,26);cell (91,26);cell (92,26);cell (93,26);cell (94,26);cell (95,26);cell (96,26);cell (97,26);cell (98,26);cell (99,26);cell (100,26)
cell (0,27);cell (2,27);cell (3,27);cell (4,27);cell (5,27);cell (6,27);cell (7,27);cell (8,27);cell (9,27);cell (10,27);cell (11,27);cell (12,27);cell (13,27);cell (14,27);cell (15,27);cell (16,27);cell (17,27);cell (18,27);cell (19,27);cell (20,27);cell (21,27);cell (22,27);cell (23,27);cell (24,27);cell (25,27);cell (26,27);cell (27,27);cell (28,27);cell (29,27);cell (30,27);cell (31,27);cell (32,27);cell (33,27);cell (34,27);cell (35,27);cell (36,27);cell (37,27);cell (38,27);cell (39,27);cell (40,27);cell (41,27);cell (42,27);cell (43,27);cell (44,27);cell (45,27);cell (46,27);cell (47,27);cell (48,27);cell (49,27);cell (50,27);cell (51,27);cell (52,27);cell (53,27);cell (54,27);cell (55,27);cell (56,27);cell (57,27);cell (58,27);cell (59,27);cell (60,27);cell (61,27);cell (62,27);cell (63,27);cell (64,27);cell (65,27);cell (66,27);cell (67,27);cell (68,27);cell (69,27);cell (70,27);cell (71,27);cell (72,27);cell (73,27);cell (74,27);cell (75,27);cell (76,27);cell (77,27);cell (78,27);cell (79,27);cell (80,27);cell (81,27);cell (82,27);cell (83,27);cell (84,27);cell (85,27);cell (86,27);cell (87,27);cell (88,27);cell (89,27);cell (90,27);cell (91,27);cell (92,27);cell (93,27);cell (94,27);cell (95,27);cell (96,27);cell (97,27);cell (98,27);cell (99,27);cell (100,27)
cell (0,28);cell (2,28);cell (3,28);cell (4,28);cell (5,28);cell (6,28);cell (7,28);cell (8,28);cell (9,28);cell (10,28);cell (11,28);cell (12,28);cell (13,28);cell (14,28);cell (15,28);cell (16,28);cell (17,28);cell (18,28);cell (19,28);cell (20,28);cell (21,28);cell (22,28);cell (23,28);cell (24,28);cell (25,28);cell (26,28);cell (27,28);cell (28,28);cell (29,28);cell (30,28);cell (31,28);cell (32,28);cell (33,28);cell (34,28);cell (35,28);cell (36,28);cell (37,28);cell (38,28);cell (39,28);cell (40,28);cell (41,28);cell (42,28);cell (43,28);cell (44,28);cell (45,28);cell (46,28);cell (47,28);cell (48,28);cell (49,28);cell (50,28);cell (51,28);cell (52,28);cell (53,28);cell (54,28);cell (55,28);cell (56,28);cell (57,28);cell (58,28);cell (59,28);cell (60,28);cell (61,28);cell (62,28);cell (63,28);cell (64,28);cell (65,28);cell (66,28);cell (67,28);cell (68,28);cell (69,28);cell (70,28);cell (71,28);cell (72,28);cell (73,28);cell (74,28);cell (75,28);cell (76,28);cell (77,28);cell (78,28);cell (79,28);cell (80,28);cell (81,28);cell (82,28);cell (83,28);cell (84,28);cell (85,28);cell (86,28);cell (87,28);cell (88,28);cell (89,28);cell (90,28);cell (91,28);cell (92,28);cell (93,28);cell (94,28);cell (95,28);cell (96,28);cell (97,28);cell (98,28);cell (99,28);cell (100,28)
cell (0,29);cell (2,29);cell (3,29);cell (4,29);cell (5,29);cell (6,29);cell (7,29);cell (8,29);cell (9,29);cell (10,29);cell (11,29);cell (12,29);cell (13,29);cell (14,29);cell (15,29);cell (16,29);cell (17,29);cell (18,29);cell (19,29);cell (20,29);cell (21,29);cell (22,29);cell (23,29);cell (24,29);cell (25,29);cell (26,29);cell (27,29);cell (28,29);cell (29,29);cell (30,29);cell (31,29);cell (32,29);cell (33,29);cell (34,29);cell (35,29);cell (36,29);cell (37,29);cell (38,29);cell (39,29);cell (40,29);cell (41,29);cell (42,29);cell (43,29);cell (44,29);cell (45,29);cell (46,29);cell (47,29);cell (48,29);cell (49,29);cell (50,29);cell (51,29);cell (52,29);cell (53,29);cell (54,29);cell (55,29);cell (56,29);cell (57,29);cell (58,29);cell (59,29);cell (60,29);cell (61,29);cell (62,29);cell (63,29);cell (64,29);cell (65,29);cell (66,29);cell (67,29);cell (68,29);cell (69,29);cell (70,29);cell (71,29);cell (72,29);cell (73,29);cell (74,29);cell (75,29);cell (76,29);cell (77,29);cell (78,29);cell (79,29);cell (80,29);cell (81,29);cell (82,29);cell (83,29);cell (84,29);cell (85,29);cell (86,29);cell (87,29);cell (88,29);cell (89,29);cell (90,29);cell (91,29);cell (92,29);cell (93,29);cell (94,29);cell (95,29);cell (96,29);cell (97,29);cell (98,29);cell (99,29);cell (100,29)
